UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
43,H0043,L,300.3211479620997,310.6988284202025,1570.6078913815131,49.4118186641997,200,0,0,0,0,0,0
44,L0044,H,300.00609204030684,310.4209729443894,1475.7318723187966,41.91897735873036,27,0,0,0,0,0,0
45,L0045,H,300.8738763394927,310.4920188479928,1397.3630792334109,59.48342644789813,34,0,0,0,0,0,0
46,H0046,H,302.38129254957266,309.47396515733243,1623.000057271915,50.251091525817735,124,0,0,0,0,0,0
47,M0047,L,301.89910827088266,307.84665708012875,1403.5294574249285,33.46101611674423,41,1,0,1,0,0,0
48,L0048,M,297.0302040631002,311.0971527117537,1662.846855477232,40.27313379851439,84,0,0,0,0,0,0
49,M0049,H,294.8921577301961,309.5211625439916,1471.561535039349,39.52629297455564,187,0,0,0,0,0,0
50,M0050,L,301.86863982247854,309.13722423595686,1659.0582072617851,24.17823236653873,110,0,0,0,0,0,0
51,M0051,L,297.26624260316913,310.693478911914,1567.893129005928,30.59601083515647,270,0,0,0,0,0,0
52,L0052,M,299.55046919621464,309.60798736008087,1486.3004510557541,34.3923909302014,104,0,0,0,0,0,0
53,M0053,M,297.65977394788126,311.05993638404664,1448.0603628173874,19.637794971440634,40,0,0,0,0,0,0
54,L0054,H,296.39603912483994,310.6170059495767,1465.909212265392,40.47493468251643,214,1,0,0,0,0,1
55,M0055,L,301.08292545640955,310.68356932320046,1542.8316692375238,37.50928155346959,70,0,0,0,0,0,0
56,H0056,M,301.5183103206053,308.6340442887995,1507.7156496217717,23.271060986884258,55,0,0,0,0,0,0
57,H0057,L,298.84697919854653,311.2119439853864,1440.6188591931295,44.04212865277332,235,0,0,0,0,0,0
58,L0058,L,294.81791541571016,310.2612505312339,1483.4368589682367,47.158727446909595,280,0,0,0,0,0,0
59,H0059,L,298.90751110349504,309.6307228607538,1507.857702971915,42.27034478864889,104,0,0,0,0,0,0
60,H0060,H,300.7836080108051,310.1433884673423,1287.1265905585187,36.7593182479103,161,0,0,0,0,0,0
61,M0061,M,297.04217686245175,308.22376476710167,1545.8168114788698,45.91442151751855,190,0,0,0,0,0,0
62,L0062,M,300.3667198395583,310.4086528114807,1402.0278775283193,46.80220360476691,8,1,1,0,0,0,0
63,M0063,L,299.969380301654,308.97062849181793,1384.6667596794255,43.074035697196884,59,0,0,0,0,0,0
64,M0064,H,301.15858299920217,308.64732971415646,1331.2655652889289,31.75387749565239,224,1,0,0,0,0,0
65,M0065,L,300.2391607368283,308.4776408137821,1320.6107502132108,42.76600765511181,187,0,0,0,0,0,0
66,M0066,H,298.0538621182369,311.11268837498994,1364.4552496887711,51.95480650825479,69,0,0,0,0,0,0
67,M0067,L,302.393143003329,309.3707366063072,1429.0979042369509,34.0337094138827,292,0,0,0,0,0,0
68,M0068,L,299.68294085394604,311.5337277099165,1695.3259137526568,60.97939339132431,286,0,0,0,0,0,0
69,M0069,L,299.9453909209801,309.4641985369477,1447.4120324104797,34.74369066014616,168,0,0,0,0,0,0
70,L0070,L,298.1334640818536,308.29264204240707,1517.7750106268031,40.324070133401364,61,0,0,0,0,0,0
71,H0071,M,299.113435497617,308.88347556005135,1540.0481386506328,33.275144039936634,13,0,0,0,0,0,0
72,M0072,M,298.2303945719462,311.2358116200069,1513.1065186215849,42.23270835920261,163,0,0,0,0,0,0
73,M0073,L,299.65410788015316,309.84410182206335,1492.2556539274005,22.577783073647247,244,1,0,1,0,0,0
74,M0074,H,303.42341696028467,309.4517127035094,1380.4706236400755,34.53958201183279,7,0,0,0,0,0,0
75,M0075,L,297.2561977141373,310.1600182258528,1645.0927548279212,29.07878799651433,153,0,0,0,0,0,0
76,M0076,M,296.7728772042465,310.50178273616757,1680.7196643637885,41.35338347892291,35,0,0,0,0,0,0
77,M0077,H,302.9423406549872,311.11739881590245,1331.7341305877314,49.94447375508908,47,0,0,0,0,0,0
78,H0078,M,299.58135264569626,311.44849922989295,1397.597140911362,46.46006187114551,84,0,0,0,0,0,0
79,H0079,L,298.6618545226802,309.6402313542109,1472.0189657622993,16.283406391411077,27,0,0,0,0,0,0
80,M0080,H,302.07980937479215,308.67395231391794,1403.546220508981,60.4206965292788,195,0,0,0,0,0,0
81,H0081,M,298.78876892052625,309.58653483887673,1550.5965553455865,42.95279940620868,207,1,1,0,1,0,1
82,L0082,L,303.6520194270939,310.2602805065829,1427.1727797593387,32.23500859507,203,0,0,0,0,0,0
83,M0083,L,301.3558517426785,309.03624107378937,1716.5056067806602,41.57127918990941,103,0,0,0,0,0,0
84,L0084,M,299.0241771837086,309.04284908510493,1619.0548594343595,41.761898225026926,229,0,0,0,0,0,0
85,L0085,M,304.314616426531,310.3437878815499,1521.2574030632215,33.331512830484364,100,0,0,0,0,0,0
86,M0086,M,298.7885701539933,309.95134764842953,1602.6986263319732,41.97916667342076,28,0,0,0,0,0,0
87,H0087,H,301.48419074401863,310.03279699541156,1610.590042435731,33.92527712379693,126,0,0,0,0,0,0
88,L0088,M,300.598585160813,309.24150466529994,1443.6052511941757,35.95638007309977,9,0,0,0,0,0,0
89,M0089,L,302.6034825787976,309.76959928579424,1418.3782755458035,33.13720864244915,105,0,0,0,0,0,0
90,L0090,L,303.1230223934537,309.0757668557317,1507.8143062969648,25.673287102603474,166,0,0,0,0,0,0
91,L0091,L,300.0640082981315,310.8901984111248,1586.1636124497943,41.45836470215384,256,0,0,0,0,0,0
92,L0092,M,298.4931642593076,311.03524933472374,1513.9060398653417,45.85299436516338,294,0,0,0,0,0,0
93,L0093,L,300.9199442858782,308.1538121377619,1342.3003517809002,45.14883596076372,276,0,0,0,0,0,0
94,H0094,M,298.6445692604958,309.0704891398076,1419.7175556049158,48.19925252635234,64,0,0,0,0,0,0
95,L0095,M,304.02677449505325,308.5034707449099,1492.6027136405621,43.243402100148685,270,0,0,0,0,0,0
96,L0096,H,300.2730706621655,309.3499760655931,1492.433439567417,34.67274501783096,187,0,0,0,0,0,0
97,L0097,L,299.26935689737576,309.91656203020966,1697.2542176789807,48.39663864431189,137,0,0,0,0,0,0
98,H0098,H,300.3693606117298,308.55035478030146,1361.4012057601003,26.42482460158065,104,0,0,0,0,0,0
99,L0099,L,297.30574742094063,309.0781401868747,1550.5589241835874,30.993286174875198,33,0,0,0,0,0,0
100,L0100,H,298.05677192297867,308.9960426279185,1648.911310832829,30.357999285767555,109,1,1,0,0,0,0
101,H0101,L,302.4008278158889,310.2072673293989,1727.1449745422797,50.8005605913931,32,0,0,0,0,0,0
102,H0102,L,298.6862114420572,310.0693443370362,1459.5602576816038,49.42788514140076,230,0,0,0,0,0,0
103,H0103,M,297.9061780346361,309.2782624466627,1549.14294527202,44.87305237044995,265,1,1,1,1,0,0
104,L0104,L,301.0733055050546,310.1768208721394,1556.9760357198647,50.71929865211797,181,1,0,0,0,1,0
105,H0105,L,302.371408309326,309.45331991541275,1519.548173155329,31.207172175880117,64,0,0,0,0,0,0
106,H0106,M,301.4379066213301,309.72834488967396,1490.1154798760695,43.485951198609804,0,0,0,0,0,0,0
107,L0107,M,301.99209537161164,311.67345209029855,1543.5975389500045,38.74825571616836,132,0,0,0,0,0,0
108,H0108,M,298.4864098228611,311.3404610517903,1246.7753914780315,48.46882103884914,79,0,0,0,0,0,0
109,L0109,M,297.15637866651633,308.7004187630724,1568.2069490062631,38.847757674478025,270,1,1,0,1,0,0
110,M0110,M,303.002667303911,310.8297324178792,1512.6177903661967,36.15057111589919,240,0,0,0,0,0,0
111,H0111,L,299.35464032231573,310.8113965544916,1477.7525103221735,45.4090851856099,27,0,0,0,0,0,0
112,M0112,L,299.4983339670899,308.8517367112474,1704.6862195719557,48.76169167191233,222,1,0,0,1,0,0
113,L0113,L,302.6563882836981,310.81877764375486,1432.5065981209448,33.31654805153198,22,0,0,0,0,0,0
114,H0114,H,301.1124600188013,311.53793191841254,1459.692401093497,39.38924328647624,108,0,0,0,0,0,0
115,L0115,M,300.9117755441632,308.87745519375557,1699.1553302204734,29.415593663583472,106,0,0,0,0,0,0
116,M0116,L,304.3300046898022,309.08249717898576,1416.7938695150144,15.019389825070604,144,0,0,0,0,0,0
117,L0117,L,298.7129635392397,311.0176614668435,1444.9884717063462,42.00459631413729,138,0,0,0,0,0,0
118,H0118,H,301.8556802561625,310.2714953108256,1485.297457656915,46.08905356254632,283,0,0,0,0,0,0
119,H0119,L,300.11402624979416,310.5514762752395,1584.0734482129549,42.620668090867255,297,0,0,0,0,0,0
120,M0120,M,300.5371845577265,310.3405892164005,1520.7802507353313,20.50438282245633,98,0,0,0,0,0,0
121,L0121,M,303.05693685282506,310.3906959209281,1370.7374652847739,36.491505699235255,122,0,0,0,0,0,0
122,H0122,M,301.0156715125793,308.6735278716889,1446.7831436872812,17.816522399489187,286,0,0,0,0,0,0
123,M0123,L,301.0765921580993,311.04731770662147,1439.264556678779,53.69701107654185,80,0,0,0,0,0,0
124,H0124,H,302.14501467461963,311.16958999242775,1492.2778954776954,29.13945417881914,9,0,0,0,0,0,0
125,H0125,H,299.2700945409142,309.77060925593196,1542.5843658629828,52.55403609459896,7,1,0,0,0,1,0
126,L0126,M,298.32158066532196,309.95652305018615,1541.8205755887973,49.45869643684146,204,0,0,0,0,0,0
127,H0127,M,297.9103816119579,308.4688924974443,1322.3988245951598,30.994096474639385,196,0,0,0,0,0,0
128,L0128,H,296.067286821248,310.51425475601786,1606.3940987560857,28.67215048732255,197,0,0,0,0,0,0
129,H0129,M,304.11241425988067,310.57205744171415,1525.2568845996623,43.50370216386338,29,0,0,0,0,0,0
130,M0130,L,297.79358326855663,309.9378089830007,1638.4532047593907,31.55675962816929,19,0,0,0,0,0,0
131,H0131,M,299.55749275282847,311.1243533598705,1544.4198327290671,41.024846421582076,47,0,0,0,0,0,0
132,L0132,M,299.44637340022217,309.6659227690201,1610.1322957735763,35.17172409193082,129,0,0,0,0,0,0
133,L0133,L,300.6148133956182,310.5646059258936,1546.6545311450127,22.188415855343667,292,0,0,0,0,0,0
134,M0134,M,301.6314744250786,308.9803356613079,1634.6225756202748,17.69531980875541,131,0,0,0,0,0,0
135,H0135,H,301.7209469767195,309.97644784912575,1552.225063601778,42.26684248494597,53,0,0,0,0,0,0
136,H0136,H,298.8338451228621,309.82564574209715,1490.2084753557097,34.38442253669375,280,0,0,0,0,0,0
137,M0137,L,299.6657565724272,310.22530792204094,1727.2434720446881,34.469101830858676,264,0,0,0,0,0,0
138,H0138,L,300.5651599009766,309.63047307116665,1588.9037122279892,46.95863839093785,214,0,0,0,0,0,0
139,H0139,H,299.5026177476329,309.86852740432835,1557.3744421004412,51.73442276632445,289,0,0,0,0,0,0
140,L0140,H,303.21469115203996,310.82604717144153,1372.3695583461663,37.27455278638191,42,0,0,0,0,0,0
141,H0141,L,300.98194990327653,309.5632357627618,1371.1692382536462,36.594012930901386,73,0,0,0,0,0,0
142,H0142,H,301.46975557209964,308.39342289926134,1529.2715482141853,45.001430331138835,277,0,0,0,0,0,0
143,M0143,H,301.3257625373348,311.7495839042054,1514.5521197768242,26.430644303004247,241,1,0,0,0,1,0
144,M0144,M,302.34694771497067,311.38145407869047,1438.5877434991685,42.23153054747697,129,0,0,0,0,0,0
145,L0145,M,300.36204311740744,308.7077373048944,1514.098269961206,45.51885971822154,193,0,0,0,0,0,0
146,H0146,L,297.4063361040883,310.6897078052452,1658.8626928043595,46.80230208417629,31,0,0,0,0,0,0
147,H0147,L,300.7993759035053,309.49702522944864,1569.5402474550299,20.63247297497535,105,0,0,0,0,0,0
148,H0148,L,298.6972862124163,310.26348721533105,1385.8991490247263,32.38644730191059,203,0,0,0,0,0,0
149,L0149,H,298.9427666365005,310.2942241290135,1488.8491172857057,31.217367471765336,0,0,0,0,0,0,0
150,L0150,L,301.1727280375102,309.7655921996837,1419.503351914744,40.99886954409213,244,0,0,0,0,0,0
151,M0151,L,302.4765661428673,309.2162343344136,1461.230008359144,44.80744579767984,71,0,0,0,0,0,0
152,L0152,L,300.04254315347214,309.30945894768377,1458.6384334370357,54.96710407445981,14,0,0,0,0,0,0
153,H0153,M,300.61766602519793,309.08380808451875,1452.2354417395995,35.05034519631927,52,0,0,0,0,0,0
154,H0154,H,303.4044298892705,309.16817779176955,1374.4864628026605,35.024275016907865,7,0,0,0,0,0,0
155,L0155,L,300.48150635897713,309.93282170995064,1487.234531848181,51.49672018878747,45,0,0,0,0,0,0
156,H0156,L,305.2033662283608,309.2842400108892,1443.939236315269,42.96576938530305,113,0,0,0,0,0,0
157,H0157,M,301.1310192912631,310.68205206571264,1207.0551309997732,52.67651511187974,146,0,0,0,0,0,0
158,L0158,L,296.47847448168835,311.4872461553359,1705.2972024501662,42.88728003009836,165,0,0,0,0,0,0
159,L0159,L,301.5066832422091,309.41994675863,1608.8769654216671,28.42883381286729,138,0,0,0,0,0,0
160,H0160,L,300.76231676976556,310.2394045005354,1462.3699275075005,26.668716452221936,116,0,0,0,0,0,0
161,H0161,L,302.5795055081655,310.49968511030295,1501.8819049740598,24.48487750941071,298,0,0,0,0,0,0
162,H0162,L,301.3463627025399,310.4720022709193,1382.8345652682438,46.620518347584735,275,0,0,0,0,0,0
163,M0163,L,299.7230880320325,310.0759552679161,1669.5722877810865,51.88596823087008,276,1,0,0,0,0,0
164,M0164,L,297.55140352742126,310.7426824183597,1689.728869477311,58.493621413863806,177,0,0,0,0,0,0
165,M0165,H,299.58195348542796,310.48224895268066,1515.6693728246526,48.431053323232405,153,0,0,0,0,0,0
166,L0166,L,298.2989590915814,308.7623375776727,1602.3530644185344,51.628385775349855,200,0,0,0,0,0,0
167,M0167,M,298.83895310039054,310.8691560643893,1517.5286778933923,34.19983667346315,114,0,0,0,0,0,0
168,L0168,M,301.17715680884123,310.88729083726673,1366.327456112407,28.435841832561433,158,0,0,0,0,0,0
169,L0169,L,303.3398090087028,309.2367138958214,1458.8176631036342,48.50079332417553,41,1,1,0,0,0,0
170,M0170,M,300.78934305964594,310.0379378354476,1513.1927966771957,44.17680752239401,246,1,0,0,0,1,1
171,M0171,L,297.6082338759296,310.6833289928111,1454.5452281256555,41.07444374340893,67,0,0,0,0,0,0
172,M0172,H,300.8892053364403,309.79068618042066,1478.1346722564963,43.8737148063299,195,0,0,0,0,0,0
173,H0173,L,302.3932629732913,311.072978047766,1490.8600442490886,43.23185482458206,89,0,0,0,0,0,0
174,M0174,L,298.7804341913612,312.3638724946194,1491.912150213454,52.83816859853562,110,0,0,0,0,0,0
175,H0175,L,299.73196566665416,309.214013967365,1505.2258490497484,52.94985584816956,144,1,0,0,1,0,0
176,L0176,H,300.0293763894584,308.6189553968462,1393.9394933603398,45.44220352340347,274,0,0,0,0,0,0
177,H0177,M,298.4302033738355,310.30381859560487,1428.2983850872065,48.45802872562928,178,0,0,0,0,0,0
178,M0178,M,301.29656086768773,310.72156250512614,1371.5415734300032,45.14062552424776,240,0,0,0,0,0,0
179,L0179,L,299.7581037027844,309.7691336261552,1597.78155496862,35.38830267965381,152,0,0,0,0,0,0
180,L0180,M,300.83906488781406,311.45326066332103,1289.4353058159675,47.5656467491314,103,0,0,0,0,0,0
181,L0181,L,298.2250156443958,308.66139420027673,1615.3590343316926,26.055049311407384,74,0,0,0,0,0,0
182,H0182,H,299.1250833993532,310.69291862303163,1638.6349397262843,50.53891552295883,127,0,0,0,0,0,0
183,M0183,L,301.44476271565554,309.3941391792411,1469.7819413017378,28.05477060233965,198,0,0,0,0,0,0
184,L0184,L,299.25433369581646,311.7193779062073,1239.68629121727,42.85803286794733,153,0,0,0,0,0,0
185,L0185,L,303.4539277024668,311.99251535316813,1463.868943803271,31.54846041573841,55,0,0,0,0,0,0
186,L0186,L,299.2007276287708,309.23334341221664,1493.581583871118,45.533889830744265,277,0,0,0,0,0,0
187,H0187,M,300.4493694515038,309.4504428640914,1398.9401780071087,39.660747740720915,18,1,0,0,0,1,0
188,H0188,L,301.86518166374617,310.8595878869798,1448.4781606191757,24.052440418366675,158,0,0,0,0,0,0
189,M0189,M,297.1632685341339,309.6128693502105,1653.019519886335,44.20699631018479,25,0,0,0,0,0,0
190,H0190,L,296.47838237603844,309.9545887820678,1566.4927162301742,34.220792231672895,168,0,0,0,0,0,0
191,L0191,M,296.94868737085983,310.0253884205424,1407.54358856219,48.81146720813369,22,0,0,0,0,0,0
192,M0192,L,302.52516820685435,308.08032684380237,1340.2400830404567,40.01325688734407,46,0,0,0,0,0,0
193,L0193,L,298.8962837082151,309.9861622539058,1467.298268239023,43.95420985388038,12,0,0,0,0,0,0
194,L0194,M,305.1163985713365,309.3102722259358,1478.6543220649562,30.42431044984788,216,0,0,0,0,0,0
195,H0195,L,298.8715048026852,309.50687717760024,1549.6199187363316,34.10667768572638,193,0,0,0,0,0,0
196,M0196,L,300.36910260639405,311.4436320034688,1446.468328743234,35.413613638989155,143,0,0,0,0,0,0
197,H0197,H,303.08421990513574,308.74349310572075,1551.149957536186,48.56702480242556,72,1,1,1,0,0,0
198,H0198,H,304.01218577631823,310.81320518674795,1693.515404006023,56.77377087805489,155,0,0,0,0,0,0
199,M0199,L,304.1230071532728,309.72103706966817,1581.5501022444262,31.948282482571237,76,0,0,0,0,0,0
200,L0200,L,302.41673246118626,309.72023983150416,1495.1911492669228,50.7684814465768,168,0,0,0,0,0,0
201,L0201,M,302.04812505162295,310.79037189605174,1481.6849528946705,18.30322582274298,286,0,0,0,0,0,0
202,M0202,L,301.1850538984024,310.34005129456887,1464.332686582013,28.058105989077106,84,0,0,0,0,0,0
203,L0203,L,301.5567221523333,310.57061299721954,1618.0640912452145,30.41221543813225,181,0,0,0,0,0,0
204,M0204,L,298.8976285673429,310.96818466053287,1437.2686554048696,26.474913105592776,296,1,0,0,0,0,0
205,M0205,M,298.3636022331554,309.66869161681666,1504.5222708999981,24.1641161021242,111,0,0,0,0,0,0
206,H0206,M,299.9932510851781,309.38776326549225,1505.1197901881085,44.129989121377974,229,1,0,0,0,0,0
207,M0207,L,299.6596307549501,308.9148494734422,1449.8215807188467,37.859323022721384,95,0,0,0,0,0,0
208,H0208,L,299.09354390134547,309.17458947002103,1362.75344521159,43.794053976051096,167,0,0,0,0,0,0
209,L0209,L,301.39277489491343,312.9490944253087,1532.2974503617668,46.90472686121513,155,0,0,0,0,0,0
210,L0210,M,301.910610417141,311.2446795807368,1493.8996028144616,42.65616993172534,104,0,0,0,0,0,0
211,L0211,L,300.17681377258367,308.648925633792,1550.024046943657,46.57763176150374,192,0,0,0,0,0,0
212,L0212,L,302.9550601621105,308.67754204325644,1446.6399693560834,39.30467713757731,131,0,0,0,0,0,0
213,H0213,M,297.716621771733,310.4818660617185,1622.0821298813048,28.130066116942555,137,0,0,0,0,0,0
214,L0214,L,299.61268108144054,310.547264797378,1412.3226218788154,50.57814180820796,269,0,0,0,0,0,0
215,M0215,M,298.5663553587944,310.5488838353174,1671.2040284017892,34.10887867218873,37,0,0,0,0,0,0
216,M0216,L,296.2669267658539,309.7450442064463,1325.2363490171738,30.64403701237574,44,0,0,0,0,0,0
217,M0217,L,299.8346386283146,309.8745457399971,1543.4770064556892,38.22082124195602,162,0,0,0,0,0,0
218,H0218,L,299.7565049832334,310.32787952415936,1547.5430682526624,30.87189080703487,252,0,0,0,0,0,0
219,L0219,M,303.02689948648424,310.0858930062933,1420.4442932059117,35.82569618010568,168,0,0,0,0,0,0
220,L0220,H,301.26162336910954,307.7806996272525,1542.4393937861012,43.440539215634665,284,0,0,0,0,0,0
221,L0221,H,297.9516263513416,309.7702003694248,1627.951866976016,43.48341739246127,273,1,0,0,0,0,0
222,H0222,L,303.7081851326684,309.1485935657397,1278.3181160645936,31.021699335743705,19,0,0,0,0,0,0
223,M0223,M,302.4420673910507,310.17521141890853,1550.2744807490815,35.12294627051256,238,0,0,0,0,0,0
224,M0224,L,301.1641954069372,312.9852590026034,1250.6729179669924,50.743330047702436,269,1,0,0,0,0,1
225,L0225,L,299.54703180230035,310.3674816654743,1403.433519647679,44.96400117733941,30,0,0,0,0,0,0
226,M0226,H,298.08112152655303,309.6864703138276,1662.9166364900946,60.750650393485415,103,1,0,1,1,0,0
227,M0227,L,299.2555864478579,310.92180150197726,1441.8217966607947,51.80128173741528,169,0,0,0,0,0,0
228,H0228,L,302.17749723940835,310.48268788720924,1382.6120035591027,51.44293068559939,185,0,0,0,0,0,0
229,H0229,L,303.76917261186924,310.42009449045185,1480.2062271015318,26.12131449544198,127,0,0,0,0,0,0
230,H0230,L,303.0864870565444,310.60685059321565,1706.7906338163552,47.63860351633423,209,0,0,0,0,0,0
231,H0231,L,299.02230115642743,312.05654356482955,1316.8317752793973,39.46893198303089,280,1,0,0,0,1,1
232,L0232,M,297.76076513342196,308.8691115646741,1394.8690088360656,34.490181964617506,252,0,0,0,0,0,0
233,H0233,L,300.2817724938224,310.47363207681144,1649.7431683179627,41.680153405325285,18,0,0,0,0,0,0
234,M0234,H,296.4631212688743,309.07361887001844,1685.7702343537733,49.45211534611484,199,0,0,0,0,0,0
235,L0235,H,300.6463354283696,310.55551264634227,1489.6568775709716,45.008315910042114,219,0,0,0,0,0,0
236,M0236,L,299.7047948274027,309.0813134885139,1376.0947297473358,31.2152619865794,135,0,0,0,0,0,0
237,M0237,L,299.0679269962635,309.5826331863949,1709.5843501809159,47.424589135926205,222,1,0,1,0,0,0
238,M0238,L,296.8105938654664,309.7049100857621,1659.4442391749196,33.62412457924036,2,0,0,0,0,0,0
239,H0239,M,301.02720021313945,310.9758167193447,1567.8946987762233,42.16683118964286,235,1,0,1,0,0,0
240,H0240,L,298.9345983206762,310.91845444394244,1418.759765106258,36.96649932522866,227,1,1,0,0,0,0
241,L0241,M,297.6601663285794,308.7542826235536,1495.0970659161962,37.811337482643744,141,0,0,0,0,0,0
242,L0242,L,294.2554755734367,310.05493411099985,1483.963991895517,47.662429750405096,8,0,0,0,0,0,0
243,H0243,M,299.94497018989875,309.29042014525083,1533.0851304615578,29.59806280184102,189,0,0,0,0,0,0
244,M0244,L,303.5445031933395,308.74149508932464,1645.1001438131336,59.45195074276933,164,0,0,0,0,0,0
245,L0245,L,303.32251842909574,309.7829829495756,1587.9417041137403,21.789139307055038,138,0,0,0,0,0,0
246,H0246,H,299.08580748682743,309.6915172115442,1392.2623923015242,34.02332316745143,275,1,1,1,1,0,0
247,H0247,M,298.79557587927644,312.4267164863455,1637.6496450019538,43.70211889941741,290,0,0,0,0,0,0
248,H0248,L,300.93754851215004,310.4329598253607,1531.3132140013156,45.8431416643531,52,1,1,0,1,1,0
249,M0249,H,298.0032291216234,308.62238249924576,1568.7065795858916,38.99524279428295,174,0,0,0,0,0,0
250,H0250,L,300.60358379963895,309.43522599582906,1646.6540859278603,39.42609296998457,109,0,0,0,0,0,0
251,H0251,H,301.5321605567694,311.0213832954294,1388.8419750486448,44.10550085327617,202,1,1,0,0,1,1
252,H0252,M,302.45386644776863,312.08844277286994,1496.4174421293537,37.6893052254232,135,0,0,0,0,0,0
